County,Division,Year,team,pld,w,d,l,pf,pa,pd,pts,clean_team,Latitude,Longitude
Cork,Division 1,2025,St Finbarrs,9,8,0,1,144,133,11,16,st finbarrs,51.877578,-8.498696
Cork,Division 1,2025,Clonakilty,9,7,1,1,188,125,63,15,clonakilty,51.621193,-8.925509
Cork,Division 1,2025,Nemo Rangers,9,7,0,2,142,121,21,14,nemo rangers,51.875648,-8.451202
Cork,Division 1,2025,Douglas,9,4,1,4,106,106,0,9,douglas,51.874471,-8.442898
Cork,Division 1,2025,Cill na Martra,9,4,1,4,151,152,-1,9,cill na martra,51.899095,-9.083582
Cork,Division 1,2025,Newcestown,9,4,1,4,130,122,8,9,newcestown,51.781081,-8.863664
Cork,Division 1,2025,Castlehaven,9,3,1,5,161,162,-1,7,castlehaven,51.5549859,-9.1453135
Cork,Division 1,2025,Eire Og,9,2,1,6,137,159,-22,5,éire óg,51.875457,-8.669633
Cork,Division 1,2025,Carrigaline,9,2,0,7,119,163,-44,4,carrigaline,51.811564,-8.380157
Cork,Division 1,2025,St Michaels,9,1,0,8,137,172,-35,2,st michaels,51.889803,-8.393282
Cork,Division 2,2025,Carbery Rangers,9,9,0,0,199,124,75,18,carbery rangers,51.584973,-9.025214
Cork,Division 2,2025,Knocknagree,9,7,0,2,153,132,21,14,knocknagree,52.130033,-9.210267
Cork,Division 2,2025,Dohenys,9,5,0,4,169,128,41,10,dohenys,51.714607,-9.110283
Cork,Division 2,2025,O Donovan Rossa,9,5,0,4,161,174,-13,10,o donovan rossa,51.554668,-9.271324
Cork,Division 2,2025,Béal Átha'n Ghaorthaidh,9,4,2,3,166,147,19,10,béal athan ghaorthaidh,51.850675,-9.23088
Cork,Division 2,2025,Ballincollig,9,3,2,4,128,121,7,8,ballincollig,51.892668,-8.588427
Cork,Division 2,2025,Valley Rovers,9,3,2,4,126,128,-2,8,valley rovers,51.785103,-8.691404
Cork,Division 2,2025,Castletownbere,9,3,1,5,136,174,-38,7,castletownbere,51.643635,-9.925679
Cork,Division 2,2025,Kanturk,9,2,1,6,138,152,-14,5,kanturk,52.181691,-8.900043
Cork,Division 2,2025,Fermoy,9,0,0,9,116,212,-96,0,fermoy,52.143969,-8.274292
Cork,Division 3,2025,Clyda Rovers,9,7,1,1,152,126,26,15,clyda rovers,52.082217,-8.629404
Cork,Division 3,2025,Uibh Laoire,9,6,2,1,159,125,34,14,iveleary,51.843149,-9.12967
Cork,Division 3,2025,Naomh Aban,9,6,0,3,160,153,7,12,naomh abán,51.943705,-9.160974
Cork,Division 3,2025,Mallow,9,5,0,4,171,147,24,10,mallow,52.145254,-8.611229
Cork,Division 3,2025,Newmarket,9,4,1,4,141,141,0,9,newmarket,52.213183,-8.98272
Cork,Division 3,2025,Kilshannig,9,4,1,4,130,142,-12,9,kilshannig,52.105169,-8.746852
Cork,Division 3,2025,Rockchapel,9,3,1,5,148,148,0,7,rockchapel,52.291442,-9.167349
Cork,Division 3,2025,Bishopstown,9,3,1,5,150,170,-20,7,bishopstown,51.884612,-8.521593
Cork,Division 3,2025,Kiskeam,9,2,1,6,167,168,-1,5,kiskeam,52.178037,-9.155935
Cork,Division 3,2025,Aghada,9,1,0,8,131,189,-58,2,aghada,51.847754,-8.193244
Cork,Division 4,2025,Aghabullogue,9,6,2,1,170,129,41,14,aghabullogue,51.906736,-8.786975
Cork,Division 4,2025,Bandon,9,6,1,2,156,127,29,13,bandon,51.739542,-8.742455
Cork,Division 4,2025,Macroom,9,5,2,2,151,158,-7,12,macroom,51.903656,-8.962928
Cork,Division 4,2025,Buttevant,9,5,1,3,175,150,25,11,buttevant,52.236398,-8.673356
Cork,Division 4,2025,Glanmire,9,5,0,4,136,136,0,10,glanmire,51.934896,-8.397989
Cork,Division 4,2025,Adrigole,9,4,1,4,153,139,14,9,adrigole,51.684475,-9.712323
Cork,Division 4,2025,Boherbue,9,3,2,4,139,133,6,8,boherbue,52.153027,-9.07861
Cork,Division 4,2025,Nemo Rangers,9,3,1,5,135,136,-1,7,nemo rangers,51.875648,-8.451202
Cork,Division 4,2025,Bantry Blues,9,3,0,6,133,159,-26,6,bantry blues,51.688064,-9.447689
Cork,Division 4,2025,St Vincents,9,0,0,9,107,188,-81,0,st vincents,51.911086,-8.496097
Cork,Division 5,2025,Gabriel Rangers,9,8,0,1,196,132,64,16,gabriel rangers,51.566264,-9.457202
Cork,Division 5,2025,Kilmurry,9,8,0,1,167,116,51,16,kilmurry,51.834343,-8.877102
Cork,Division 5,2025,Ballinora,9,7,0,2,169,146,23,14,ballinora,51.853758,-8.566739
Cork,Division 5,2025,Ilen Rovers,9,5,1,3,149,143,6,11,ilen rovers,51.498446,-9.353486
Cork,Division 5,2025,Kinsale,9,4,1,4,165,149,16,9,kinsale,51.710465,-8.532468
Cork,Division 5,2025,Mitchelstown,9,4,1,4,139,146,-7,9,mitchelstown,52.275887,-8.281469
Cork,Division 5,2025,Millstreet,9,3,0,6,150,168,-18,6,millstreet,52.061257,-9.065975
