County,Division,Year,team,pld,w,d,l,pf,pa,pd,pts,clean_team,Latitude,Longitude
Meath,Division 1,2024,Skryne,11,7,1,3,151,133,18,15,skryne,53.583364,-6.547767
Meath,Division 1,2024,Summerhill,11,7,1,3,168,155,13,15,summerhill,53.483525,-6.738941
Meath,Division 1,2024,Ballinabrackey,11,5,4,2,147,120,27,14,ballinabrackey,53.396387,-7.108494
Meath,Division 1,2024,Donaghmore/Ashbourne,11,6,2,3,153,127,26,14,donaghmoreashbourne,53.50943,-6.410494
Meath,Division 1,2024,Ratoath,11,5,3,3,136,128,8,13,ratoath,53.510425,-6.478256
Meath,Division 1,2024,"St Peter's, Dunboyne",11,5,1,5,171,159,12,11,st peters dunboyne,53.410506,-6.474412
Meath,Division 1,2024,St. Colmcille's,11,4,2,5,138,139,-1,10,st colmcilles,53.696083,-6.279859
Meath,Division 1,2024,Na Fianna CLG,11,4,2,5,152,161,-9,10,na fianna enfield,53.410992,-6.822061
Meath,Division 1,2024,Gaeil Colmcille,11,4,2,5,145,162,-17,10,gaeil colmcille,53.71987,-6.880174
Meath,Division 1,2024,Bhulf Tón Clg,11,4,2,5,122,141,-19,10,wolfe tones,53.699722,-6.682203
Meath,Division 1,2024,Simonstown,11,3,1,7,137,154,-17,7,simonstown gaels,53.672473,-6.682418
Meath,Division 1,2024,Navan O'Mahonys,11,1,1,9,122,163,-41,3,omahonys navan,53.649641,-6.691038
Meath,Division 2,2024,Dunshaughlin GAA,11,8,0,3,187,129,58,16,dunshaughlin,53.514759,-6.552474
Meath,Division 2,2024,Seneschalstown GFC,11,8,0,3,189,151,38,16,seneschalstown,53.683986,-6.588064
Meath,Division 2,2024,Trim,11,7,1,3,177,134,43,15,trim,53.553324,-6.803895
Meath,Division 2,2024,Curraha,11,7,0,4,152,144,8,14,curraha,53.554103,-6.454578
Meath,Division 2,2024,Meath Hill,11,6,0,5,155,135,20,12,meath hill,53.887728,-6.713774
Meath,Division 2,2024,Oldcastle,11,5,1,5,166,159,7,11,oldcastle,53.745702,-7.173826
Meath,Division 2,2024,St Michael's,11,5,1,5,145,168,-23,11,st michaels,53.767768,-6.827061
Meath,Division 2,2024,St Patrick's,11,5,0,6,157,159,-2,10,st patricks stamullen,53.633309,-6.262855
Meath,Division 2,2024,Moynalvey,11,4,1,6,175,191,-16,9,moynalvey,53.469269,-6.664575
Meath,Division 2,2024,Duleek-Bellewstown,11,4,0,7,122,140,-18,8,duleekbellewstown,53.654461,-6.433657
Meath,Division 2,2024,Walterstown,11,3,1,7,153,196,-43,7,walterstown,53.624359,-6.609117
Meath,Division 2,2024,Syddan,11,1,1,9,128,200,-72,3,syddan,53.796112,-6.637596
Meath,Division 3,2024,Rathkenny,11,9,2,0,188,132,56,20,rathkenny,53.742146,-6.616245
Meath,Division 3,2024,St Vincent's,11,8,2,1,139,117,22,18,st vincents ardcath,53.602144,-6.38274
Meath,Division 3,2024,Donaghmore/Ashbourne,11,8,1,2,170,118,52,17,donaghmoreashbourne,53.50943,-6.410494
Meath,Division 3,2024,Clann na nGael,11,7,1,3,188,155,33,15,clann na ngael,53.626911,-6.910542
Meath,Division 3,2024,Dunsany,11,7,0,4,150,110,40,14,dunsany,53.545872,-6.618177
Meath,Division 3,2024,Kilbride GFC,11,6,1,4,193,150,43,13,kilbride,53.453252,-6.396768
Meath,Division 3,2024,Ballivor GFC,11,6,0,5,166,169,-3,12,ballivor,53.53142,-6.966286
Meath,Division 3,2024,Dunderry,11,3,1,7,144,165,-21,7,dunderry,53.606629,-6.772329
Meath,Division 3,2024,Bective,11,3,0,8,125,188,-63,6,bective,53.61335,-6.669671
Meath,Division 3,2024,Kilmainham,11,2,0,9,124,192,-68,4,kilmainham,53.710995,-6.827317
Meath,Division 3,2024,Nobber,11,1,1,9,140,178,-38,3,nobber,53.819211,-6.745727
Meath,Division 3,2024,Blackhall Gaels,11,0,3,8,118,171,-53,3,blackhall gaels,53.473157,-6.545263
Meath,Division 4,2024,Castletown,10,9,0,1,176,124,52,18,castletown,53.767342,-6.690196
Meath,Division 4,2024,Drumbaragh,10,8,0,2,145,125,20,16,drumbaragh emmetts,53.727573,-6.938186
Meath,Division 4,2024,Ratoath,11,7,0,4,199,136,63,14,ratoath,53.510425,-6.478256
Meath,Division 4,2024,Ballinlough,11,7,0,4,162,146,16,14,ballinlough,53.733882,-7.053707
Meath,Division 4,2024,St. Colmcille's,11,6,1,4,165,137,28,13,st colmcilles,53.696083,-6.279859
Meath,Division 4,2024,Carnaross,11,6,1,4,179,154,25,13,carnaross,53.746658,-6.939989
Meath,Division 4,2024,St Brigid's,11,6,0,5,180,153,27,12,st brigids ballinacree,53.76196,-7.235007
Meath,Division 4,2024,Longwood,11,4,1,6,156,143,13,9,longwood,53.456396,-6.935679
Meath,Division 4,2024,St Ultan's,11,4,1,6,178,185,-7,9,st ultans,53.672183,-6.814886
Meath,Division 4,2024,"St Peter's, Dunboyne",11,3,1,7,164,190,-26,7,st peters dunboyne,53.410506,-6.474412
Meath,Division 4,2024,Gaeil Colmcille,11,2,1,8,152,181,-29,5,gaeil colmcille,53.71987,-6.880174
Meath,Division 4,2024,Dunshaughlin GAA,11,0,0,11,68,250,-182,0,dunshaughlin,53.514759,-6.552474
