County,Division,Year,team,pld,w,d,l,pf,pa,pd,pts,clean_team,Latitude,Longitude
Cavan,A-League Division 1,2024,Ramor United,12,11,0,1,246,139,107,22,ramor united,53.830296,-7.070488
Cavan,A-League Division 1,2024,Cavan Gaels,12,10,1,1,216,133,83,21,cavan gaels,53.988038,-7.363122
Cavan,A-League Division 1,2024,Gowna,12,8,0,4,225,171,54,16,gowna,53.86601,-7.550067
Cavan,A-League Division 1,2024,Crosserlough,12,8,0,4,216,153,63,16,crosserlough,53.861975,-7.316331
Cavan,A-League Division 1,2024,Kingscourt Stars,12,6,0,6,186,181,5,12,kingscourt stars,53.907118,-6.801545
Cavan,A-League Division 1,2024,Arva,12,5,1,6,160,176,-16,11,st patricks arva,53.92166,-7.57887
Cavan,A-League Division 1,2024,CLG Cuchulainn,12,5,1,6,170,212,-42,11,cuchulainns,53.808693,-6.938897
Cavan,A-League Division 1,2024,Knockbride,13,5,1,7,209,252,-43,11,knockbride,53.977897,-7.057976
Cavan,A-League Division 1,2024,Mullahoran GFC,12,5,0,7,193,177,16,10,mullahoran dreadnoughts,53.835173,-7.439166
Cavan,A-League Division 1,2024,Laragh Utd,12,5,0,7,168,190,-22,10,laragh united,53.983051,-7.237147
Cavan,A-League Division 1,2024,Ballyhaise,12,4,1,7,174,200,-26,9,ballyhaise,54.046253,-7.314709
Cavan,A-League Division 1,2024,Castlerahan GAA,13,4,1,8,165,212,-47,9,castlerahan,53.861232,-7.209929
Cavan,A-League Division 1,2024,Lacken GAA,12,0,0,12,98,230,-132,0,lacken celtic,53.920851,-7.426256
Cavan,A-League Division 2,2024,Killygarry GAA Club/CLG Coill an Gharraí,13,11,2,0,270,177,93,24,killygarry,53.964688,-7.318857
Cavan,A-League Division 2,2024,Lavey,13,11,0,2,168,133,35,22,erins own lavey,53.901499,-7.17445
Cavan,A-League Division 2,2024,Killinkere CLG,13,9,0,4,204,175,29,18,killinkere,53.885481,-7.050346
Cavan,A-League Division 2,2024,Ballinagh GAA,13,8,1,4,205,168,37,17,ballinagh,53.930673,-7.412008
Cavan,A-League Division 2,2024,Butlersbridge G.A.A,13,7,2,4,188,178,10,16,butlersbridge,54.047954,-7.375035
Cavan,A-League Division 2,2024,Cornafean,13,6,3,4,196,162,34,15,cornafean,53.9504,-7.49461
Cavan,A-League Division 2,2024,Cootehill Celtic GAA,13,5,4,4,171,160,11,14,cootehill celtic,54.072479,-7.079643
Cavan,A-League Division 2,2024,Ballymachugh,13,6,0,7,180,200,-20,12,ballymachugh,53.835841,-7.353148
Cavan,A-League Division 2,2024,Drumlane,13,5,1,7,162,163,-1,11,drumlane,54.068624,-7.478328
Cavan,A-League Division 2,2024,Drumgoon,13,4,2,7,155,175,-20,10,drumgoon éire óg,54.04294,-7.018316
Cavan,A-League Division 2,2024,Searcóg/Shercock,13,3,2,8,155,204,-49,8,shercock,53.980313,-6.88016
Cavan,A-League Division 2,2024,Belturbet Rory O'Moores,13,3,1,9,178,201,-23,7,belturbet rory omoores,54.099878,-7.438112
Cavan,A-League Division 2,2024,Denn,13,3,0,10,165,202,-37,6,denn,53.920235,-7.264607
Cavan,A-League Division 2,2024,Templeport St. Aidan's GAA,13,1,0,12,160,259,-99,2,st aidans templeport,54.121966,-7.674415
Cavan,A-League Division 3,2024,Bailieborough,11,9,1,1,216,110,106,19,bailieborough shamrocks,53.925765,-6.969827
Cavan,A-League Division 3,2024,Munterconnaught,12,9,0,3,200,151,49,18,munterconnacht,53.793504,-7.066725
Cavan,A-League Division 3,2024,Redhills,12,9,0,3,190,145,45,18,redhills,54.099834,-7.32191
Cavan,A-League Division 3,2024,Drumalee,12,8,0,4,164,147,17,16,drumalee,53.997988,-7.352844
Cavan,A-League Division 3,2024,Kill Shamrocks GAA,12,8,0,4,246,120,126,16,kill shamrocks,54.054796,-7.135233
Cavan,A-League Division 3,2024,Drung,11,7,1,3,162,131,31,15,drung dalcassians,54.068864,-7.225342
Cavan,A-League Division 3,2024,"St Mary's GAA, Swanlinbar",11,4,1,6,186,180,6,9,st marys swanlinbar,54.192078,-7.704567
Cavan,A-League Division 3,2024,Mountnugent,11,4,0,7,173,216,-43,8,mountnugent,53.805934,-7.219515
Cavan,A-League Division 3,2024,Shannon Gaels,11,3,1,7,125,186,-61,7,shannon gaels,54.289898,-7.866955
Cavan,A-League Division 3,2024,Kildallan,11,3,0,8,153,197,-44,6,kildallan,54.119597,-7.584639
Cavan,A-League Division 3,2024,Killeshandra,11,2,0,9,120,219,-99,4,killeshandra leaguers,54.011024,-7.526885
Cavan,A-League Division 3,2024,Maghera MacFinns,11,0,0,11,65,198,-133,0,maghera macfinns,53.800467,-7.039934
Cavan,B-League Division 1,2024,Crosserlough,11,9,1,1,233,146,87,19,crosserlough,53.861975,-7.316331
Cavan,B-League Division 1,2024,Kingscourt Stars,11,8,1,2,188,129,59,17,kingscourt stars,53.907118,-6.801545
Cavan,B-League Division 1,2024,Ballyhaise,11,7,2,2,197,152,45,16,ballyhaise,54.046253,-7.314709
Cavan,B-League Division 1,2024,Cavan Gaels,11,7,1,3,242,182,60,15,cavan gaels,53.988038,-7.363122
Cavan,B-League Division 1,2024,Killygarry GAA Club/CLG Coill an Gharraí,10,6,1,3,236,188,48,13,killygarry,53.964688,-7.318857
Cavan,B-League Division 1,2024,Knockbride,11,6,0,5,161,159,2,12,knockbride,53.977897,-7.057976
Cavan,B-League Division 1,2024,Ballinagh GAA,11,5,1,5,151,152,-1,11,ballinagh,53.930673,-7.412008
Cavan,B-League Division 1,2024,Laragh Utd,11,4,1,6,118,179,-61,9,laragh united,53.983051,-7.237147
Cavan,B-League Division 1,2024,Ramor United,11,4,1,6,172,188,-16,9,ramor united,53.830296,-7.070488
Cavan,B-League Division 1,2024,Mullahoran GFC,11,3,0,8,93,174,-81,6,mullahoran dreadnoughts,53.835173,-7.439166
Cavan,B-League Division 1,2024,Lacken GAA,11,0,2,9,134,212,-78,2,lacken celtic,53.920851,-7.426256
Cavan,B-League Division 1,2024,Castlerahan GAA,10,0,1,9,72,136,-64,1,castlerahan,53.861232,-7.209929
Cavan,B-League Division 2,2024,Gowna,9,9,0,0,162,103,59,18,gowna,53.86601,-7.550067
Cavan,B-League Division 2,2024,Belturbet Rory O'Moores,10,8,0,2,191,134,57,16,belturbet rory omoores,54.099878,-7.438112
Cavan,B-League Division 2,2024,Lavey,10,6,1,3,164,125,39,13,erins own lavey,53.901499,-7.17445
Cavan,B-League Division 2,2024,Butlersbridge G.A.A,10,6,1,3,171,143,28,13,butlersbridge,54.047954,-7.375035
Cavan,B-League Division 2,2024,CLG Cuchulainn,9,6,0,3,111,152,-41,12,cuchulainns,53.808693,-6.938897
Cavan,B-League Division 2,2024,Killinkere CLG,10,5,1,4,92,108,-16,11,killinkere,53.885481,-7.050346
Cavan,B-League Division 2,2024,Cornafean,10,5,0,5,107,127,-20,10,cornafean,53.9504,-7.49461
Cavan,B-League Division 2,2024,Bailieborough,10,4,1,5,93,113,-20,9,bailieborough shamrocks,53.925765,-6.969827
Cavan,B-League Division 2,2024,Templeport St. Aidan's GAA,10,2,0,8,92,178,-86,4,st aidans templeport,54.121966,-7.674415
Cavan,B-League Division 2,2024,Ballymachugh,10,1,0,9,0,0,0,2,ballymachugh,53.835841,-7.353148
Cavan,B-League Division 2,2024,Cootehill Celtic GAA,10,0,0,10,0,0,0,0,cootehill celtic,54.072479,-7.079643
Cavan,B-League Division 3,2024,Kill Shamrocks GAA,12,10,0,2,195,148,47,20,kill shamrocks,54.054796,-7.135233
Cavan,B-League Division 3,2024,Crosserlough,11,10,0,1,175,138,37,20,crosserlough,53.861975,-7.316331
Cavan,B-League Division 3,2024,Drumlane,12,9,1,2,166,153,13,19,drumlane,54.068624,-7.478328
Cavan,B-League Division 3,2024,Denn,12,7,1,4,182,136,46,15,denn,53.920235,-7.264607
Cavan,B-League Division 3,2024,Corlough,12,6,1,5,181,163,18,13,corlough,54.118056,-7.747799
Cavan,B-League Division 3,2024,Arva,10,6,0,4,247,202,45,12,st patricks arva,53.92166,-7.57887
Cavan,B-League Division 3,2024,Drumgoon,12,6,0,6,138,180,-42,12,drumgoon éire óg,54.04294,-7.018316
Cavan,B-League Division 3,2024,Killeshandra,12,4,0,8,206,214,-8,8,killeshandra leaguers,54.011024,-7.526885
