County,Division,Year,team,pld,w,d,l,pf,pa,pd,pts,clean_team,Latitude,Longitude
Kerry,Division 1,2024,Dr. Crokes,11,11,0,0,227,102,125,22,dr crokes,52.067234,-9.504002
Kerry,Division 1,2024,Laune Rangers,11,8,2,1,189,153,36,18,laune rangers,52.10535,-9.800296
Kerry,Division 1,2024,Rathmore,11,8,0,3,163,145,18,16,rathmore,52.064615,-9.239939
Kerry,Division 1,2024,Spa,11,5,1,5,159,150,9,11,spa,52.070181,-9.467903
Kerry,Division 1,2024,Kilcummin,11,4,3,4,142,152,-10,11,kilcummin,52.097933,-9.475604
Kerry,Division 1,2024,Killarney Legion,11,4,2,5,149,139,10,10,killarney legion,52.072615,-9.508591
Kerry,Division 1,2024,Glenflesk,11,4,2,5,189,186,3,10,glenflesk,52.014838,-9.362016
Kerry,Division 1,2024,Ballymacelligott,11,3,3,5,164,181,-17,9,ballymacelligott,52.252347,-9.597974
Kerry,Division 1,2024,Kerins O`Rahilly's,11,4,0,7,152,165,-13,8,kerins orahillys,52.266946,-9.71584
Kerry,Division 1,2024,An Ghaeltacht,11,3,1,7,149,192,-43,7,an ghaeltacht,52.181509,-10.364593
Kerry,Division 1,2024,Dingle,11,3,1,7,111,177,-66,7,dingle,52.137344,-10.267517
Kerry,Division 1,2024,Milltown/Castlemaine,11,1,1,9,121,173,-52,3,milltowncastlemaine,52.150259,-9.716193
Kerry,Division 2,2024,Austin Stacks,11,9,1,1,159,95,64,19,austin stacks,52.276604,-9.712997
Kerry,Division 2,2024,Beaufort,11,8,2,1,211,143,68,18,beaufort,52.067931,-9.639333
Kerry,Division 2,2024,Glenbeigh-Glencar,11,7,2,2,173,138,35,16,glenbeighglencar,52.058259,-9.936538
Kerry,Division 2,2024,Kenmare Shamrocks,11,7,0,4,167,155,12,14,kenmare shamrocks,51.880603,-9.569415
Kerry,Division 2,2024,Gneeveguilla,11,5,2,4,130,152,-22,12,gneeveguilla,52.119719,-9.271893
Kerry,Division 2,2024,Fossa,11,5,2,4,179,184,-5,12,fossa,52.069074,-9.540538
Kerry,Division 2,2024,Listowel Emmets,11,3,4,4,185,164,21,10,listowel emmets,52.446928,-9.477364
Kerry,Division 2,2024,Ardfert Football Club,11,3,3,5,165,191,-26,9,ardfert,52.331234,-9.778167
Kerry,Division 2,2024,Templenoe,11,2,4,5,141,161,-20,8,templenoe,51.861086,-9.688363
Kerry,Division 2,2024,Desmonds,11,3,1,7,140,159,-19,7,castleisland desmonds,52.23776,-9.464165
Kerry,Division 2,2024,John Mitchels,11,1,2,8,118,165,-47,4,john mitchels,52.247736,-9.676128
Kerry,Division 2,2024,Na Gaeil,11,0,3,8,122,183,-61,3,na gaeil,52.282301,-9.689736
Kerry,Division 3,2024,Firies,11,8,2,1,175,141,34,18,firies,52.173213,-9.547032
Kerry,Division 3,2024,Churchill,11,6,2,3,151,135,16,14,churchill,52.27494,-9.784067
Kerry,Division 3,2024,Keel,11,6,1,4,157,123,34,13,keel,52.172486,-9.773946
Kerry,Division 3,2024,Ballydonoghue,11,5,3,3,161,153,8,13,ballydonoghue,52.485994,-9.520907
Kerry,Division 3,2024,Tarbert,11,5,1,5,171,151,20,11,tarbert,52.570722,-9.373495
Kerry,Division 3,2024,Cordal,11,5,1,5,148,159,-11,11,cordal,52.221787,-9.382273
Kerry,Division 3,2024,Reenard,11,5,1,5,140,159,-19,11,renard,51.929805,-10.251918
Kerry,Division 3,2024,Listry,11,3,4,4,123,130,-7,10,listry,52.104483,-9.631897
Kerry,Division 3,2024,Annascaul,11,4,1,6,161,169,-8,9,annascaul,52.153066,-10.047685
Kerry,Division 3,2024,St Mary's,11,3,3,5,152,147,5,9,st marys cahirciveen,51.945362,-10.234172
Kerry,Division 3,2024,Currow,11,3,2,6,174,209,-35,8,currow,52.180016,-9.507727
Kerry,Division 3,2024,Knocknagoshel,11,2,1,8,136,173,-37,5,knocknagoshel,52.323099,-9.383051
Kerry,Division 4,2024,St Senan's,11,11,0,0,207,133,74,22,st senans,52.395871,-9.515667
Kerry,Division 4,2024,Castlegregory GAA Club,10,8,1,1,213,144,69,17,castlegregory,52.259016,-10.01499
Kerry,Division 4,2024,Brosna,11,7,3,1,185,137,48,17,brosna,52.310105,-9.260752
Kerry,Division 4,2024,Beale,11,6,1,4,154,148,6,13,beale,52.50562,-9.671694
Kerry,Division 4,2024,Piarsaigh Na Dromoda,10,4,2,4,161,156,5,10,dromid pearses,51.894283,-10.088164
Kerry,Division 4,2024,Skelligs Rangers,11,5,0,6,134,146,-12,10,skelligs rangers,51.880861,-10.370082
Kerry,Division 4,2024,Ballyduff,11,5,0,6,157,187,-30,10,ballyduff,52.451307,-9.66994
Kerry,Division 4,2024,Waterville,11,3,3,5,161,151,10,9,waterville,51.825796,-10.161726
Kerry,Division 4,2024,Moyvane,11,4,1,6,173,164,9,9,moyvane,52.49912,-9.377233
Kerry,Division 4,2024,St Michael's-Foilmore,11,2,3,6,136,153,-17,7,st michaelsfoilmore,51.829137,-10.268529
