County,Division,Year,team,pld,w,d,l,pf,pa,pd,pts,clean_team,Latitude,Longitude
Wicklow,Division 1,2025,Rathnew,7,5,0,2,116,81,35,10,rathnew,52.989108,-6.08236
Wicklow,Division 1,2025,Éire Óg Greystones,7,5,0,2,103,77,26,10,eire og greystones,53.132531,-6.066479
Wicklow,Division 1,2025,Baltinglass,7,5,0,2,113,101,12,10,baltinglass,52.931275,-6.684331
Wicklow,Division 1,2025,Blessington,7,3,1,3,114,115,-1,7,blessington,53.180934,-6.538899
Wicklow,Division 1,2025,Tinahely,7,3,1,3,105,135,-30,7,tinahely,52.798814,-6.457501
Wicklow,Division 1,2025,An Tóchar,7,3,0,4,125,107,18,6,an tochar,53.059263,-6.229983
Wicklow,Division 1,2025,Naomh Teagain/Kiltegan,7,2,1,4,113,133,-20,5,naomh teagain kiltegan,,
Wicklow,Division 1,2025,Arklow Geraldines-Ballymoney/Na nGearaltaigh-Baile Mhuine,7,0,1,6,86,126,-40,1,arklow geraldines ballymoney,52.8209621,-6.1781371
Wicklow,Division 2,2025,Bray Emmets GAA Club,7,6,0,1,159,104,55,12,bray emmets,53.207746,-6.12736
Wicklow,Division 2,2025,Emmet Carn An Bhua,7,5,0,2,109,108,1,10,carnew emmets,52.714901,-6.493216
Wicklow,Division 2,2025,Abhainn Dála,7,4,0,3,130,121,9,8,avondale,52.923067,-6.241915
Wicklow,Division 2,2025,Dunlavin,7,4,0,3,131,127,4,8,dunlavin,53.058605,-6.691434
Wicklow,Division 2,2025,St Patrick's GAA Club Wicklow,7,3,1,3,127,124,3,7,st patricks wicklow,52.973657,-6.026608
Wicklow,Division 2,2025,Hollywood,7,3,0,4,127,123,4,6,hollywood,53.090296,-6.611487
Wicklow,Division 2,2025,Coolkenno,7,1,1,5,79,127,-48,3,coolkenno,52.778053,-6.6228
Wicklow,Division 2,2025,Shillelagh / Coolboy,7,1,0,6,120,148,-28,2,coolboy,52.76524,-6.427029
Wicklow,Division 3,2025,Laragh GAA,11,9,1,1,207,183,24,19,laragh,53.005433,-6.300923
Wicklow,Division 3,2025,Donard/Glen,11,7,2,2,176,137,39,16,donard glen,53.02159,-6.619334
Wicklow,Division 3,2025,Annacurra,11,7,1,3,176,125,51,15,annacurra,52.841607,-6.353948
Wicklow,Division 3,2025,Ballinacor,11,7,0,4,191,177,14,14,ballinacor,52.946562,-6.33326
Wicklow,Division 3,2025,Ballymanus,11,6,1,4,164,161,3,13,ballymanus,52.871361,-6.4103
Wicklow,Division 3,2025,Kilcoole,11,5,2,4,183,161,22,12,kilcoole,53.094769,-6.070664
Wicklow,Division 3,2025,CLG Ath na Fuinseoige,11,4,2,5,170,172,-2,10,ashford,53.012328,-6.109534
Wicklow,Division 3,2025,Barndarrig,11,3,3,5,150,187,-37,9,barndarrig,52.928405,-6.15539
Wicklow,Division 3,2025,Newtown GAA,11,4,1,6,158,169,-11,9,newtown,53.080658,-6.116129
Wicklow,Division 3,2025,Aughrim,11,3,2,6,162,149,13,8,aughrim,52.852554,-6.335164
Wicklow,Division 3,2025,Kilmacanogue,11,3,1,7,179,213,-34,7,kilmacanogue,53.162557,-6.142518
Wicklow,Division 3,2025,St Patrick's GAA Club Wicklow,11,0,0,11,62,144,-82,0,st patricks wicklow,52.973657,-6.026608
Wicklow,Division 4,2025,Valleymount,11,11,0,0,251,118,133,22,valleymount,53.114238,-6.530901
Wicklow,Division 4,2025,Rathnew,11,9,0,2,198,151,47,18,rathnew,52.989108,-6.08236
Wicklow,Division 4,2025,Blessington,11,7,0,4,226,180,46,14,blessington,53.180934,-6.538899
Wicklow,Division 4,2025,Avoca,11,6,0,5,167,167,0,12,avoca,52.853743,-6.215919
Wicklow,Division 4,2025,An Tóchar,11,5,1,5,166,143,23,11,an tochar,53.059263,-6.229983
Wicklow,Division 4,2025,Arklow Geraldines-Ballymoney/Na nGearaltaigh-Baile Mhuine,11,5,1,5,197,191,6,11,arklow geraldines ballymoney,52.8209621,-6.1781371
Wicklow,Division 4,2025,Baltinglass,11,5,0,6,144,167,-23,10,baltinglass,52.931275,-6.684331
Wicklow,Division 4,2025,Newcastle,11,4,1,6,144,179,-35,9,newcastle,53.069956,-6.058177
Wicklow,Division 4,2025,Dunlavin,11,4,0,7,168,195,-27,8,dunlavin,53.058605,-6.691434
Wicklow,Division 4,2025,Tinahely,11,3,0,8,153,196,-43,6,tinahely,52.798814,-6.457501
Wicklow,Division 4,2025,Cnoc an Eanaigh,11,3,0,8,161,244,-83,6,knockananna,52.867859,-6.498427
Wicklow,Division 4,2025,Éire Óg Greystones,11,1,3,7,144,188,-44,5,eire og greystones,53.132531,-6.066479
Wicklow,Division 5A,2025,Naomh Teagain/Kiltegan,7,5,1,1,133,110,23,11,naomh teagain kiltegan,,
Wicklow,Division 5A,2025,Stratford Grange Con GAA (Áth na Sráide Grainseach Choinn),7,4,2,1,135,90,45,10,stratford grangecon,52.997147,-6.669908
Wicklow,Division 5A,2025,Blessington,7,3,3,1,135,120,15,9,blessington,53.180934,-6.538899
Wicklow,Division 5A,2025,Baltinglass,7,4,0,3,130,131,-1,8,baltinglass,52.931275,-6.684331
Wicklow,Division 5A,2025,Donard/Glen,7,3,2,2,124,94,30,8,donard glen,53.02159,-6.619334
Wicklow,Division 5A,2025,Hollywood,7,3,0,4,127,124,3,6,hollywood,53.090296,-6.611487
Wicklow,Division 5A,2025,Cill Bhride,7,1,0,6,88,170,-82,2,kilbride,53.19752,-6.469276
Wicklow,Division 5A,2025,Emmet Carn An Bhua,7,1,0,6,64,97,-33,2,carnew emmets,52.714901,-6.493216
Wicklow,Division 5B,2025,Annacurra,6,6,0,0,128,57,71,12,annacurra,52.841607,-6.353948
Wicklow,Division 5B,2025,Bray Emmets GAA Club,6,4,0,2,102,66,36,8,bray emmets,53.207746,-6.12736
